HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
5.9	0.07283
5.917	0.0587
5.933	0.05593
5.95	0.06143
5.967	0.06122
5.983	0.06199
6	0.05933
6.017	0.06244
6.033	0.06072
6.05	0.06137
6.067	0.0629
6.083	0.06122
6.1	0.05998
6.117	0.06091
6.133	0.06173
6.15	0.06094
6.167	0.06093
6.183	0.06028
6.2	0.05969
6.217	0.06252
6.233	0.06101
6.25	0.06149
6.267	0.06209
6.283	0.06438
6.3	0.06061
6.317	0.06089
6.333	0.07877
6.35	0.05938
6.367	0.05532
6.383	0.06149
6.4	0.06309
6.417	0.06051
6.433	0.0613
6.45	0.06131
6.467	0.06111
6.483	0.06063
6.5	0.06118
6.517	0.06167
6.533	0.06088
6.55	0.06016
6.567	0.06146
6.583	0.06194
6.6	0.06275
6.617	0.06114
6.633	0.06168
6.65	0.06214
6.667	0.06149
6.683	0.05998
6.7	0.06122
6.717	0.06158
6.733	0.06141
6.75	0.06172
6.767	0.06223
6.783	0.06147
6.8	0.0615
6.817	0.06264
6.833	0.06279
6.85	0.06119
6.867	0.06167
6.883	0.06101
6.9	0.06219
6.917	0.06243
6.933	0.05751
6.95	0.06049
6.967	0.06064
6.983	0.06261
7	0.06671
7.017	0.05689
7.033	0.06875
7.05	0.06139
7.067	0.05339
7.083	0.05952
7.1	0.05937
7.117	0.06051
7.133	0.06191
7.15	0.0603
7.167	0.06023
7.183	0.05843
7.2	0.05994
7.217	0.06235
7.233	0.06118
7.25	0.05857
7.267	0.05967
7.283	0.06291
7.3	0.06045
7.317	0.05977
7.333	0.05927
7.35	0.06216
7.367	0.06049
7.383	0.0615
7.4	0.06026
7.417	0.06116
7.433	0.05991
7.45	0.0545
7.467	0.075
7.483	0.05981
7.5	0.05799
7.517	0.06542
7.533	0.06409
7.55	0.06106
7.567	0.06142
7.583	0.06319
7.6	0.06155
7.617	0.05876
7.633	0.06118
7.65	0.06338
7.667	0.06348
7.683	0.0626
7.7	0.06255
7.717	0.06206
7.733	0.06351
7.75	0.06377
7.767	0.06176
7.783	0.06338
7.8	0.06257
7.817	0.05979
7.833	0.06265
7.85	0.0629
7.867	0.06404
7.883	0.0634
7.9	0.06031
7.917	0.06339
7.933	0.06193
7.95	0.06258
7.967	0.05917
7.983	0.06047
8	0.06198
8.017	0.06358
8.033	0.06167
8.05	0.06199
8.067	0.05659
8.083	0.0638
8.1	0.06135
8.117	0.06406
8.133	0.0584
8.15	0.07358
8.167	0.0574
8.183	0.05712
8.2	0.06497
8.217	0.06448
8.233	0.06127
8.25	0.0619
8.267	0.06451
8.283	0.06301
8.3	0.06252
8.317	0.06363
8.333	0.06327
8.35	0.05858
8.367	0.06164
8.383	0.06305
8.4	0.06337
8.417	0.06423
8.433	0.06237
8.45	0.06154
8.467	0.06114
8.483	0.0601
8.5	0.06154
8.517	0.06323
8.533	0.06192
8.55	0.0619
8.567	0.05561
8.583	0.05979
8.6	0.07329
8.617	0.05586
8.633	0.06271
8.65	0.06336
8.667	0.06079
8.683	0.05853
8.7	0.06094
8.717	0.06327
8.733	0.06343
8.75	0.06192
8.767	0.06125
8.783	0.06112
8.8	0.06301
8.817	0.06252
8.833	0.06275
8.85	0.06168
8.867	0.06473
8.883	0.06171
8.9	0.06207
8.917	0.06087
8.933	0.05819
8.95	0.0637
8.967	0.06114
8.983	0.06272
9	0.06257
9.017	0.06407
9.033	0.05935
9.05	0.06084
9.067	0.06149
9.083	0.06383
9.1	0.06271
9.117	0.06389
9.133	0.06162
9.15	0.05865
9.167	0.06363
9.183	0.06365
9.2	0.05879
9.217	0.06082
9.233	0.06556
9.25	0.05961
9.267	0.06057
9.283	0.06311
9.3	0.06582
9.317	0.05491
9.333	0.05472
9.35	0.06085
9.367	0.06241
9.383	0.06371
9.4	0.06404
9.417	0.06084
9.433	0.06082
9.45	0.06419
9.467	0.06402
9.483	0.05956
9.5	0.0637
9.517	0.0629
9.533	0.06171
9.55	0.06202
9.567	0.06159
9.583	0.06147
9.6	0.06009
9.617	0.05726
9.633	0.05918
9.65	0.06277
9.667	0.06384
9.683	0.06184
9.7	0.05455
9.717	0.06712
9.733	0.06403
9.75	0.06086
9.767	0.06516
9.783	0.06128
9.8	0.06103
9.817	0.06085
9.833	0.05706
9.85	0.06371
9.867	0.06159
9.883	0.0664
9.9	0.0614
9.917	0.05995
9.933	0.06474
9.95	0.05833
9.967	0.06367
9.983	0.05747
