HEADER		
'time'		'total volume'
UNITS		
'hour'	'cm^3'	
0.0667	0.8074	
0.2333	6.5214	
0.4	11.8294	
0.65	16.6307	
0.9	24.3856	
1.15	30.1465	
1.65	35.3543	
1.9833	35.3076	
2.3167	37.2043	
2.65	38.2287	
2.9833	38.4847	
3.3167	38.5765	
3.8167	39.0872	
4.3167	37.9915	
4.8167	39.3957	
5.3167	39.1448	
5.8167	39.2716	
6.5667	39.3081	
7.3167	37.8166	
8.0667	38.0863	
8.8167	38.7529	
9.5667	39.1105	
