HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
5.9	0.11571
5.917	0.11527
5.934	0.115
5.95	0.11573
5.967	0.11535
5.983	0.11545
6	0.11516
6.017	0.11551
6.034	0.11535
6.05	0.11471
6.067	0.11552
6.084	0.11521
6.1	0.11534
6.117	0.11539
6.133	0.11483
6.15	0.11515
6.167	0.11609
6.184	0.11525
6.2	0.11485
6.217	0.1155
6.234	0.11539
6.25	0.11499
6.267	0.11476
6.283	0.11503
6.3	0.11546
6.317	0.11274
6.334	0.11358
6.35	0.11352
6.367	0.1137
6.384	0.11336
6.4	0.11319
6.417	0.11399
6.433	0.11389
6.45	0.1136
6.467	0.11295
6.484	0.11326
6.5	0.11375
6.517	0.11353
6.534	0.11394
6.55	0.11324
6.567	0.11316
6.583	0.11268
6.6	0.1127
6.617	0.11332
6.634	0.11275
6.65	0.1142
6.667	0.11288
6.684	0.11309
6.7	0.11371
6.717	0.11322
6.733	0.11316
6.75	0.1133
6.767	0.11316
6.784	0.11368
6.8	0.11299
6.816	0.11331
6.833	0.11255
6.85	0.11275
6.867	0.11294
6.883	0.11263
6.9	0.11263
6.917	0.11329
6.933	0.11246
6.95	0.11307
6.966	0.11295
6.983	0.11249
7	0.11223
7.017	0.11213
7.033	0.1127
7.05	0.11283
7.067	0.11328
7.083	0.11219
7.1	0.11255
7.116	0.11215
7.133	0.11207
7.15	0.11196
7.167	0.11266
7.183	0.11212
7.2	0.11228
7.217	0.11277
7.233	0.11242
7.25	0.11226
7.266	0.11241
7.283	0.11232
7.3	0.11256
7.317	0.11299
7.333	0.11234
7.35	0.11207
7.367	0.11228
7.383	0.10709
7.4	0.11182
7.416	0.11213
7.433	0.11253
7.45	0.11246
7.467	0.1125
7.483	0.11271
7.5	0.11279
7.517	0.11393
7.533	0.11272
7.55	0.11251
7.566	0.11272
7.583	0.11329
7.6	0.11338
7.617	0.11302
7.633	0.11293
7.65	0.1133
7.667	0.11376
7.683	0.11259
7.7	0.1128
7.716	0.11281
7.733	0.1136
7.75	0.11271
7.767	0.11226
7.783	0.11251
7.8	0.11315
7.817	0.11301
7.833	0.11289
7.85	0.11283
7.866	0.11285
7.883	0.11255
7.9	0.11301
7.917	0.11353
7.933	0.11059
7.95	0.11056
7.967	0.11093
7.983	0.11039
8	0.11018
8.016	0.1099
8.033	0.10966
8.05	0.11054
8.067	0.10939
8.083	0.10888
8.1	0.10939
8.117	0.10997
8.133	0.11003
8.15	0.10984
8.166	0.10944
8.183	0.10915
8.2	0.10953
8.217	0.10982
8.233	0.10925
8.25	0.10954
8.267	0.10938
8.283	0.10957
8.3	0.10966
8.316	0.1095
8.333	0.11038
8.35	0.10937
8.367	0.10957
8.383	0.10973
8.4	0.10902
8.417	0.10958
8.433	0.11056
8.45	0.10889
8.466	0.11595
8.483	0.10957
8.5	0.11017
8.517	0.11015
8.533	0.11136
8.55	0.1109
8.567	0.11138
8.583	0.11055
8.6	0.11036
8.616	0.11016
8.633	0.11202
8.65	0.11177
8.667	0.11065
8.683	0.11055
8.7	0.11067
8.717	0.11108
8.733	0.11026
8.75	0.11096
8.766	0.1105
8.783	0.11058
8.8	0.11065
8.817	0.1112
8.833	0.11067
8.85	0.11104
8.867	0.11095
8.883	0.11066
8.9	0.11078
8.916	0.1104
8.933	0.11171
8.95	0.11067
8.967	0.11035
8.983	0.10996
9	0.11342
9.017	0.11051
9.033	0.11021
9.05	0.10987
9.066	0.11071
9.083	0.11041
9.1	0.11063
9.117	0.11106
9.133	0.11034
9.15	0.11024
9.167	0.10986
9.183	0.1095
9.2	0.11027
9.216	0.1096
9.233	0.11045
9.25	0.11053
9.267	0.10934
9.283	0.11049
9.3	0.10972
9.317	0.10955
9.333	0.10964
9.35	0.10967
9.366	0.11015
9.383	0.1101
9.4	0.10982
9.417	0.10913
9.433	0.11038
9.45	0.10953
9.467	0.11052
9.483	0.11045
9.5	0.10953
9.516	0.10943
9.55	0.10863
9.567	0.10914
9.583	0.11046
9.6	0.11048
9.617	0.11012
9.633	0.10962
9.65	0.10999
9.666	0.10967
9.683	0.11062
9.7	0.10998
9.717	0.10933
9.733	0.10949
